name,brand,size,original_price,purchase_price,selling_price,post_fee,date_of_sale,pieces
Zimní bunda,FF,104,449,249,249.5,,,,
Džíny,FF,104,229,229,75,,,,
Tričko Auta,,104,199,119,25,,,,
Tepláky,Kik,104,139,139,0,,,,
Mikina Auta,,104,99,50,50,55,,,,
Mikina Auta,,104,390,142,100,36,,,,
Teplé ponožky,Kik,27-30,105,55,0,,,,
Podkolenky,Tchibo,27-30,129,98,,,,,
Ponožky Auta,Lindex,27-30,249,249,0,,,,
Tepláky,HM,104,1694,1196,300,,,6,
Džínové kraťasy,HM,104,299,100,115,,,,
Pláťaky, Reserved,104,299,99,40,,,,
Zateplné džíny,,104,169,84.5,0,,,,
Podkolenky,Lupilu,27-30,,79.5,,,,,
Podkolenky,Lupilu,27-30,,79.5,,,,,
Softshellky,Unuo,98-104,489,489,0,60,,,
Tričko,,104,,20,28,,,2,
Tričko,,104,,10,,,,,
Tričko,,104,,10,,,,,
Tričko,,104,,10,,,,,
Softshellka, Kugo,98-104,390,390,200,16.6,,,
Čepice Auto,,48,110,110,50,16.5,,,
Tričko Auto,,104,270,270,80,33.2,,2,
Pyžamo Auto,,98-104,195,195,75,16.6,,,
Zateplené tepláky,,229,149,,,,,
Zateplené tepláky,,229,149,,,,,
Čepice a šátek,Thibo,249,134,,,,,

